"FOODID","FOODNAME","CALORIES","CARBS","PROTEIN","FAT"
"797","REINDEER, COLD SMOKED","127.39","0","21.6","4.5"
"799","HAM, COOKED HAM, LOW-FAT, 3% FAT","99.67","0.2","17.6","3.1"
"800","BALTIC HERRING","120.46","0","16.3","6.1"
"801","BALTIC HERRING, SALTED","118.31","0","16","6"
"802","BALTIC HERRING, SMOKED","142.93","0","18.8","7.5"
"803","HERRING, SALTED","160.37","0","13.2","12.1"
"804","COD","76.72","0","17.3","0.8"
"805","ZANDER, PIKE-PERCH","79.59","0","18.7","0.4"
"806","REDFISH, SMOKED","117.11","0","16.8","5.5"
"807","HALIBUT, SMOKED","203.87","0","18.2","14.7"
"809","VENDACE, LAKE","110.66","0","18.7","3.9"
"810","VENDACE, SALTED LAKE FISH","120.7","0","21","4"
"811","VENDACE, SMOKED LAKE FISH","137.67","0","23.5","4.8"
"812","PERCH","82.46","0","18.8","0.7"
"813","PIKE","81.02","0","19","0.4"
"814","BREAM","98.47","0","17.3","3.2"
"815","POWAN, WHITEFISH, POLLAN, LAVARET","102.53","0","20.2","2.3"
"816","POWAN, SMOKED","109.94","0","20.9","2.8"
"817","SALMON, WHOLE","126.91","0","12.2","8.8"
"818","SALMON, SALT-CURED","217.73","0","24.2","13.5"
"819","BURBOT","70.98","0","15.7","0.8"
"820","FLOUNDER","76.96","0","15","1.8"
"821","EEL","349.67","0","17.5","31.5"
"822","RAINBOW TROUT, WHOLE, AVERAGE","99.19","0","10.9","6.2"
"823","TROUT","107.79","0","20","3"
"824","FISH, AVERAGE, BALTIC HERRING/VENDACE/PERCH/PIKE","98.71","0","18.2","2.8"
"825","LAMPREY, SMOKED","349.9","0","17.5","31.5"
"826","SAITHE, FROZEN","80.31","0","17.6","1"
"828","TUNA, IN OIL, CANNED","189.77","0","27.1","9"
"829","ANCHOVY","257.17","9.6","28.9","11.4"
"830","SALMON IN OIL, CANNED","248.8","0","19.8","19.1"
"831","SARDINE, AVERAGE, IN OIL AND TOMATO SAUCE","207.7","0","20","14.3"
"832","CAVIAR, DARK ROE OF STURGEON","144.6","0","20.8","6.8"
"833","ROE PASTE","408.94","12.5","10.3","35.8"
"834","MUSSEL IN WATER, CANNED","81.26","0","15.6","2"
"835","SHRIMP","65.73","0","14.4","0.8"
"836","CRAYFISH","65.49","0","14.6","0.7"
"837","HERRING, PICKLED/SALTED, AVERAGE","218.93","18","11.9","11"
"838","BALTIC HERRING, PICKLED/SALTED, AVERAGE","113.29","0","14.8","6"
"844","BREAM, SMOKED","124.04","0","21.3","4.2"
"845","ROACH","94.89","0","18.2","2.4"
"846","REDFISH, ROSEFISH, FROZEN","117.11","0","16.8","5.5"
"848","RAINBOW TROUT SEA, FILLET","152.49","0","16.8","9.6"
"851","EGG YOLK, 34% OF EGG MASS","323.61","0.2","15.9","29.2"
"852","EGG WHITE, 66% OF EGG MASS","45.65","0.4","10.8","0"
"855","EGG, QUAIL, RAW","135.76","0.4","12.9","9.2"
"856","FISH, LOW-FAT, AVERAGE, SMOKED","121.65","0","20.5","4.3"
"857","FISH, FATTY, SMOKED","240.2","0","17.3","19.7"
"858","EGG WITHOUT SHELL","134.08","0.3","12.6","9.2"
"859","HERRING IN GARLIC OR MUSTARD SAUCE","277.72","16","13.5","17.8"
"860","BALTIC HERRING IN DILL OR MUSTARD SAUCE","178.78","0","11.1","15.1"
"862","TUNA","139.58","0","23.7","4.9"
"863","OYSTER, EUROPEAN","7.89","0","1.5","0.2"
"864","SNAIL","86.04","2","16.1","1.4"
"865","SQUID","84.13","0","17.9","1.3"
"866","LOBSTER","83.41","0","18.8","0.8"
"870","RAINBOW TROUT FILLET, SALT-CURED","163.72","2","15.8","9"
"871","SALMON FILLET","195.27","0","18.7","13.5"
"900","COFFEE, AVERAGE","3.11","0.3","0.3","0.1"
"901","TEA","0.24","0","0.1","0"
"902","BEER, LAGER, MEDIUM STRENGTH, 4.5% VOLUME","42.54","4.1","0.4","0"
"903","BEER, LAGER, STRONG, 5-5.5% VOLUME","40.39","2.4","0.5","0"
"904","WINE, AVERAGE, 8-15% VOLUME","67.88","0.5","0.3","0"
"905","WINE, FORTIFIED, SWEET, BITTERS, SHERRY, VERMOUTH, MADEIRA, FRUIT WINE","157.03","11.5","0.2","0"
"906","SPIRIT, VODKA, GIN","228.73","0","0","0"
"907","SPIRIT, BRANDY/RUM/WHISKY 40% VOLUME","228.73","0","0","0"
"908","LIQUEUR, 20-30% VOLUME","258.13","32.8","0","0"
"909","GIN AND GRAPEFRUIT DRINK, 5.5% VOLUME","50.19","5","0","0"
"910","SOFT DRINK, LEMONADE","37.28","9.1","0.1","0"
"911","CIDER, SWEET, <3% VOLUME","34.89","3.6","0.3","0"
"912","MEAD, FINNISH SIMA","50.91","12.5","0","0"
"913","BEER, LAGER, VERY MILD <2.8% VOLUME","19.36","1","0.3","0"
"914","BEER HOME-MADE, ALCOHOL-FREE","8.6","1.8","0.3","0"
"915","MINERAL WATER","0","0","0","0"
"917","LEMON TEA DRINK POWDER, SWEETENED INSTANT TEA","388.15","95","0.5","0"
"920","SOFT DRINK, LIGHT, SUGAR-FREE","0","0","0","0"
"921","MINERAL WATER, LOW SODIUM","0","0","0","0"
"922","WATER, TAP WATER","0","0","0","0"
"923","TEA, HERBAL TEA","0","0","0","0"
"924","RED WINE","70.51","0.2","0.3","0"
"925","WHITE WINE, DRY","68.59","0.6","0.3","0"
"926","WHITE WINE, SWEET","96.8","6","0.3","0"
"928","SOFT DRINK, COLA, AVERAGE","44.46","10.9","0.1","0"
"929","VINEGAR, WINE VINEGAR","20.79","0.5","0","0"
"930","FILTERED COFFEE DRINK","2.63","0.3","0.3","0"
"931","BOILED COFFEE DRINK","3.82","0.3","0.3","0.2"
"932","CAPPUCCINO, UNSWEETENED, WHOLE MILK","44.93","3.4","2.2","2.4"
"933","VINEGAR","33.22","0.5","0","0"
"934","VINEGAR WITH HONEY AND APPLE","56.41","8.4","0.1","0"
"936","WINE, LIGHT, 4-5% VOLUME","61.19","8.3","0.2","0"
"937","TEA, GREEN TEA","0.24","0","0.1","0"
"938","SOFT DRINK, PARTIALLY ARTIFICIALLY SWEETENED","8.37","2","0.1","0"
"939","CIDER, SWEET, 4.7% VOLUME","50.91","5.5","0.3","0"
"940","BEER, STRONG ALE, 7.5-8% VOLUME","68.83","6.1","0.4","0"
"941","SOFT DRINK, COLA, LIGHT, PARTIALLY ARTIFICIALLY SWEETENED","0.72","0","0.1","0"
"942","CREAM LIQUEUR, 15-17% VOLUME","298.76","20.9","0","14.8"
"943","ORANGE CAMPARI, COCKTAIL","86.04","10.5","0.4","0.1"
"944","IRISH COFFEE, 8% VOLUME","109.23","5.4","0.4","3.2"
"945","WINE, MULLED","84.85","8.5","0.2","0"
"946","GLUCOSE SYRUP, PARTLY REFINED, STARCHY","316.92","78","0","0"
"947","BLOODY MARY","87.48","2.2","0.4","0.2"
"948","RUM COLA","66.68","9.6","0.1","0"
"949","SCREWDRIVER","68.12","8.8","0.5","0.1"
"950","GIN TONIC","59.27","7.8","0","0"
"951","TOM COLLINS, GIN COCKTAIL","48.04","3.1","0","0"
"952","DRY MARTINI","210.8","2.9","0.1","0"
"953","EGGNOG","83.89","4.5","4.2","2.6"
"1000","RYE GRUEL, RYE FLOUR, WATER, SALT","18.64","3.4","0.6","0.1"
"1001","RYE GRUEL, RYE FLOUR, JUICE, SALT","91.3","20.4","0.8","0.3"
"1002","RYE PORRIDGE, RYE FLOUR, WATER, SALT","39.2","7.2","1.2","0.2"
"1003","RYE PORRIDGE, RYE FLOUR, MILK, SALT","92.5","13.6","4.3","1.7"
"1005","RYE POTATO PORRIDGE, WATER, SALT","50.91","9.9","1.4","0.2"
"1006","RYE BERRY PORRIDGE, WATER, LINGONBERRY, SUGAR, SALT","67.16","13","1.4","0.4"
"1007","RYE LINGONBERRY PORRIDGE, SALT, WITHOUT SUGAR","51.63","9.2","1.4","0.4"
"1009","RYEBREAD, WATER, WHOLEGRAIN RYE FLOUR","239.48","43.7","7.3","1.4"
"1011","MULTIGRAIN BREAD, SWEET-AND-SOUR BREAD, SOUR MILK, WHEAT AND RYE FLOUR","267.93","52.9","8.2","1.3"
"1013","KARELIAN PASTY, RICE FILLING","148.42","24.3","4.2","3.2"
"1014","KARELIAN PASTY, POTATO FILLING, RYE CRUST","145.32","21.9","4","3.8"
"1015","BERRY PIE, CRUSHED BERRIES, RYE CRUST","175.43","35","2","1.7"
"1017","BOILED KARELIAN PASTY, RICE FILLING IN RYE CRUST","251.91","19.9","3.8","16.9"
"1022","BREAD PORRIDGE, LINGONBERRIES, RYE BREAD, SEMOLINA","67.64","14.5","1","0.2"
"1023","M�MMI, SWEETENED MALT PORRIDGE, FINNISH EASTER PUDDING","120.22","23.5","3","0.5"
"1025","RYE GRUEL, RYE FLAKES, MILK, SALT","65.49","8.2","3.7","1.7"
"1026","RYE PORRIDGE, RYE FLAKES, WATER, SALT","34.42","6.1","1.1","0.2"
"1027","RYE PORRIDGE, RYE FLAKES, MILK, SALT","72.42","9.5","3.9","1.7"
"1028","MIXED FLAKE GRUEL, MILK, SALT","73.61","9.6","4","1.8"
"1030","MIXED FLAKE PORRIDGE, MILK, SALT","81.02","11.1","4.1","1.8"
"1031","WHEAT TORTILLA, BURRITO, WRAP, VEGETABLE FILLING","141.01","16.4","5.9","5"
"1032","KRUSKA PORRIDGE, CRUSHED GRAINS AND RAISINS, WATER, SALT","77.68","14.8","1.6","0.5"
"1033","WHEAT TORTILLA, BURRITO, WRAP, PORK BEEF MINCE FILLING","191.2","19.6","7.6","8.7"
"1035","WHEAT TORTILLA, BURRITO, WRAP, CHICKEN FILLING","175.43","17.1","10.5","6.8"
"1036","RYE BREAD, 51% RYE","250","47","7.9","1.3"
"1056","WHITE BREAD, PITA BREAD","230.88","46.1","7.5","1"
"1100","WHEAT GRUEL, MILK, WHEAT FLOUR, SUGAR, SALT","85.8","10.1","3.9","3.1"
"1101","EGG GRUEL WITH MILK","71.7","7.9","4.4","2.4"
"1104","WHEAT PORRIDGE, LOW-FAT MILK, WHEAT FLOUR, SUGAR, SALT","115.44","14.4","4.4","4.3"
"1107","WHITE BREAD, FRENCH BREAD, LOW-FAT MILK, WHEAT FLOUR","273.42","53.3","9.3","1.6"
"1108","WHITE BREAD, WHEAT ROLL, LOW-FAT MILK","310.71","52","8.7","6.7"
"1111","MULTIGRAIN BREAD, FLATBREAD, LOW-FAT MILK, WHEAT AND RYE FLOUR","329.11","55.2","9.3","6.4"
"1132","DANISH PASTRY, LOW-FAT MILK, 20% FAT","363.05","37.7","7.3","20"
"1139","DOUGHNUT, LOW-FAT MILK, HOME-MADE","313.1","47.3","7.4","9.9"
"1150","BAGEL, SWEET, LOW-FAT MILK","360.66","48.8","7.9","14.3"
"1160","DOUGH, UNSWEETENED","507.41","33.2","7.7","38.3"
"1161","BERRY PIE, BASIC SWEET DOUGH, LOW-FAT MILK","224.9","39.1","5.5","4"
"1162","BERRY PIE, BASIC SWEET DOUGH, FAT-FREE MILK","223.71","39.1","5.5","3.9"
"1163","BERRY PIE, BASIC SWEET DOUGH, WHOLE MILK","227.06","39.1","5.5","4.3"
"1164","JAM PIE, BASIC SWEET DOUGH, LOW-FAT MILK","304.25","53.1","7.9","5.8"
"1165","JAM PIE, BASIC SWEET DOUGH, FAT-FREE MILK","298.52","52.5","7.8","5.5"
"1170","APPLE PIE, BASIC SWEET DOUGH, LOW-FAT MILK","242.11","42.8","6","4.4"
"1173","QUARK PIE, BASIC SWEET DOUGH, LOW-FAT MILK","264.82","41.5","8.6","6.4"
"1179","BERRY PIE, SHORTBREAD CRUST","240.2","28.3","3.7","11.5"
"1180","BERRY PIE WITH SOUR MILK, SHORTBREAD CRUST","223.47","24","4.1","11.6"
"1181","JAM PIE, SHORTBREAD CRUST","368.31","45.8","5.3","17.8"
"1182","RHUBARB PIE, SHORTBREAD CRUST","257.41","34.8","3.5","10.9"
"1183","APPLE PIE, SHORTBREAD CRUST","200.53","26.3","2.7","8.9"
"1184","QUARK PIE, SHORTBREAD CRUST","295.41","31.5","7.9","14.9"
"1185","APPLE PIE WITH QUARK FILLING, SHORTBREAD CRUST","188.34","20.9","4.3","9.4"
"1193","SWISS ROLL DOUGH, UNSWEETENED","243.07","30.7","13.4","6.9"
"1202","TOSCA CAKE","430.69","42.2","9.8","24.1"
"1204","SPONGE CAKE, BERRY AND CREAM FILLING","266.25","33.1","4.1","12.8"
"1206","SPONGE CAKE, CARAMEL CAKE WITH WHIPPED CREAM","242.59","35.1","3.4","9.6"
"1207","SPONGE CAKE WITH CUSTARD","336.28","34.7","4.1","20.1"
"1208","SPONGE CAKE, FRUIT AND CREAM FILLING, GELATIN TOPPING","196.94","33.3","3.9","5"
"1218","CARROT PIE, BUTTER DOUGH","276.29","19.6","4.9","19.6"
"1220","MUSHROOM PIE, BUTTER DOUGH","162.76","11.6","4","10.7"
"1221","VEGETARIAN PIE, SHORTCRUST PASTRY","282.74","15.5","9.3","19.9"
"1223","THIN PANCAKE, LOW-FAT MILK","186.42","20.8","7.3","8"
"1228","BLIN WITH LOW-FAT MILK, BARLEY FLOUR","167.07","18.6","6.4","7"
"1231","OVEN-BAKED PANCAKE, LOW-FAT MILK","152.72","21.5","6.7","4.1"
"1239","WHITE SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR AND FAT","122.61","9.4","3.8","7.7"
"1242","WHITE SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR","69.07","9","3.9","1.7"
"1243","SAUCE VELOUTE, MEAT BOUILLON, THICKENED WITH FLOUR","95.6","7.6","1.1","6.8"
"1244","BROWN GRAVY, THICKENED WITH FAT AND FLOUR","89.63","5.4","0.9","7.2"
"1245","THIN BROWN SAUCE WITH CREAM","71.46","8","1.3","3.6"
"1246","HOLLANDAISE SAUCE","567.88","3","4.4","60.7"
"1247","EGG SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR AND FAT","124.52","7.9","5.3","7.9"
"1253","PUDDING, PRUNE PUDDING","123.57","17.6","4.2","3.5"
"1258","FRENCH TOAST WITH LOW-FAT MILK","251.43","25.2","6.7","13.5"
"1262","COOKIE CRUMBS, WHIPPED CREAM AND JAM DESSERT, PAPPILAN H�T�VARA","286.57","22.3","2.3","20.8"
"1265","GRAHAM GRUEL, MILK, SALT","67.88","8.6","3.9","1.7"
"1266","GRAHAM PORRIDGE, WATER, SALT","60.95","10.9","2.3","0.4"
"1268","GRAHAM BERRY PORRIDGE, WATER, LINGONBERRY, SUGAR, SALT","70.03","13.3","1.9","0.4"
"1269","MULTIGRAIN BREAD, GRAHAM BREAD, LOW-FAT MILK, GRAHAM FLOUR","254.54","45.1","9.8","2.1"
"1270","MULTIGRAIN BREAD, GRAHAM ROLL, LOW-FAT MILK, GRAHAM FLOUR, WHEAT FLOUR","248.33","41.3","7.8","4.7"
"1276","SEMOLINA GRUEL, MILK, SALT","64.53","8.4","3.8","1.6"
"1277","SEMOLINA PORRIDGE, MILK, SALT","81.02","11.9","4.2","1.6"
"1278","SEMOLINA LINGONBERRY PORRIDGE, WHIPPED","71.46","14.8","1.3","0.3"
"1279","SEMOLINA LINGONBERRY PORRIDGE, WHIPPED, SALT, WITHOUT SUGAR","40.63","7.7","1.3","0.2"
"1280","SEMOLINA APRICOT PORRIDGE, WHIPPED, WITHOUT SALT","78.87","17","1.6","0.2"
"1281","SEMOLINA CHOCOLATE PORRIDGE, MILK, WITHOUT SALT","94.41","13.9","4.5","1.9"
"1283","SEMOLINA GRUEL, WHOLE GRAIN SEMOLINA, MILK","63.81","8.1","3.8","1.6"
"1284","SEMOLINA PORRIDGE, WHOLE GRAIN SEMOLINA, WATER","36.09","7","1.4","0.1"
"1285","SEMOLINA PORRIDGE, WHOLE GRAIN SEMOLINA, MILK","79.35","11.4","4.2","1.6"
"1286","WHEAT GRUEL, MILK, WHEAT FLAKES, SALT","68.12","8.6","3.9","1.7"
"1287","WHEAT GRUEL, WATER, WHEAT FLAKES, SALT","20.79","3.7","0.8","0.1"
"1288","WHEAT PORRIDGE, MILK, WHEAT FLAKES, SALT","83.89","11.6","4.5","1.7"
"1289","MACARONI GRUEL, MILK, SALT","62.86","8","3.7","1.6"
"1290","MACARONI PORRIDGE, MILK, SALT","84.13","12.5","4.5","1.6"
"1291","MACARONI CASSEROLE, LOW-FAT MILK, WITHOUT MEAT","103.01","14","5.4","2.6"
"1294","MACARONI, FRIED","161.33","20.4","4","6.8"
"1295","WHITE BREAD, DARK WHEAT FLOUR, WATER","249.52","45.4","8.2","3"
"1297","MULTIGRAIN BREAD, BUTTERMILK BREAD, SOUR MILK, WHEAT AND DARK WHEAT FLOUR","304.97","57.2","9.9","3"
"1298","MULTIGRAIN BREAD, CARROT ROLL, LOW-FAT MILK, DARK WHEAT FLOUR, FLOUR MIX","228.25","37.1","7.3","4.7"
"1301","MULTIGRAIN BREAD, BREAD ROLL, LOW-FAT MILK, FLOUR MIX","224.43","36.5","7.2","4.6"
"1305","BERRY PIE, SHORTBREAD CRUST/BASIC SWEET DOUGH, AVERAGE","263.62","33.5","4.6","11.5"
"1307","BUN, CINNAMON BUN, HIGH-FAT, LOW-FAT MILK","336.76","46.6","7.6","12.8"
"1309","WHITE BREAD, WHEAT BREAD, FRENCH BREAD, INDUSTRIAL","279.88","56","9","1.2"
"1320","MULTIGRAIN BREAD, BUCKWHEAT BREAD, WATER, BUCKWHEAT FLOUR, NATURALLY GLUTEN-FREE","223.71","35.8","7.8","4.5"
"1326","SWISS ROLL, GLUTEN-FREE","244.98","45.4","5.8","4"
"1330","RYE BREAD, WATER, RYE AND DARK WHEAT FLOUR","221.8","41.3","7.3","1.4"
"1331","RYE BREAD, WHOLEGRAIN RYE, DARK WHEAT FLOUR, INDUSTRIAL","246.41","45","7.7","1.5"
"1336","MULTIGRAIN BREAD, GRAHAM BREAD, WATER, DARK WHEAT FLOUR, GRAHAM FLOUR","219.65","41","8","1.4"
"1337","MULTIGRAIN BREAD, GRAHAM BREAD, LOW-FAT MILK, DARK WHEAT FLOUR, GRAHAM FLOUR","239.01","43.1","9.3","2.1"
"1338","RYE BREAD, WHOLEGRAIN RYE, POTATO, RUISPALAT","279.4","51","8.2","1.9"
"1340","MULTIGRAIN BREAD, SEED BREAD, WATER, WHEAT FLOUR, CRUSHED WHEAT GRAINS, SEEDS","241.16","40.3","8","4.4"
"1341","MULTIGRAIN BREAD, CRUSHED GRAINS, WATER, WHEAT AND RYE FLOUR, OAT FLAKES","226.82","44.5","7.4","1.2"
"1342","RYE BREAD, WHOLEGRAIN RYE, LOW-SODIUM","241.63","44.8","6.9","1.5"
"1343","BERRY AND RHUBARB PIE, SOFT","251.91","32","4.6","11.1"
"1344","BERRY PIE, SWEETENED WITH FRUCTOSE, SOFT","245.22","31.3","5.4","10.3"
"1347","CHRISTMAS STAR PASTRY","402.01","38.5","4.4","25.1"
"1348","MUESLI WITH DRIED FRUIT","321.22","61.8","7.9","2.6"
"1370","RICE, BOILED WITHOUT SALT","93.45","20.6","1.7","0.2"
"1372","MACARONI, BOILED, SALT","99.9","19.6","3.8","0.3"
"1373","PASTA, SPAGHETTI, BOILED, SALT","99.43","19.6","3.5","0.4"
"1374","MACARONI, DARK, BOILED, SALT","104.68","19.4","4","0.7"
"1375","CRASHED RYE GRAIN E AND RICE MIX, BOILED, SALT","139.1","29.4","3.4","0.6"
"1376","RICE, LONG-GRAIN, BOILED, SALT","108.75","23.4","2.4","0.3"
"1377","RICE, WHOLEGRAIN, BOILED WITHOUT SALT","144.84","28.5","3.2","1.2"
"1378","RICE, NATURAL RICE, MIXED RICE AND WILD RICE, BOILED, SALT","107.55","21.2","2.4","0.9"
"1379","RICE, BOILED, SALT","101.58","22.4","1.8","0.2"
"1389","RYE, WHEAT AND POTATO DOUGH","438.34","45.5","6.2","24.8"
"1416","RYE BREAD, SWEET AND SOUR RYE MALT BREAD","226.34","45","5.3","1"
"1445","SANDWICH, BAGUETTE, TOMATO, SWEET PEPPER, CHEESE, LETTUCE, ONION","175.67","22.4","6.4","6.1"
"1448","TOMATO SALSA","25.1","3.6","0.9","0.3"
"1450","RED WINE SAUCE","73.37","3.9","1.1","4.8"
"1461","CHEESE PASTY","277.96","37.3","11.7","8.5"
"1500","BARLEY GRUEL, BARLEY FLOUR, MILK, SALT","62.38","7.9","3.5","1.7"
"1501","BARLEY PORRIDGE, PEARL BARLEY, WATER, SALT","46.61","9.2","1.2","0.3"
"1502","MULTIGRAIN BREAD, BARLEY BREAD, LOW-FAT MILK, DARK WHEAT AND BARLEY FLOUR, OAT","265.3","48.7","9.5","2.2"
"1503","MULTIGRAIN BREAD, FLATBREAD, POTATO AND BARLEY, WATER, BARLEY FLOUR, HOME-MADE","157.5","31.5","4","0.7"
"1504","BARLEY GRUEL, PEARL BARLEY, MILK, SALT","68.36","9.1","3.6","1.7"
"1505","BARLEY PORRIDGE, PEARL BARLEY, MILK, SALT","93.69","13.9","4.4","1.9"
"1506","BARLEY PORRIDGE, PEARL BARLEY, LINGONBERRY, SUGAR, SALT","75.05","15.8","1.1","0.3"
"1507","MULTIGRAIN BREAD, FALTBREAD, PEARL BARLEY, SOUR MILK","177.1","30.8","6.8","1.8"
"1509","BARLEY PORRIDGE, BARLEY FLAKES, WATER, SALT","34.42","6.7","0.9","0.2"
"1510","BARLEY PORRIDGE, BARLEY FLAKES, MILK, SALT","79.59","11.5","3.8","1.7"
"1511","OAT GRUEL, OAT FLAKES, WATER, SALT","31.07","4.9","1.1","0.6"
"1512","OAT GRUEL, OAT FLAKES, MILK, SALT","77.44","9.7","4.2","2.1"
"1513","OAT PORRIDGE, OAT FLAKES, WATER, SALT","57.36","9","2.1","1.1"
"1514","OAT PORRIDGE, OAT FLAKES, LOW-FAT MILK, SALT","100.14","13.5","4.9","2.5"
"1516","PRUNE KISSEL, PRUNE SOUP, WITH OAT FLAKES","34.89","5.6","1.3","0.6"
"1518","PRUNE PORRIDGE, OAT FLAKES, PRUNES, WATER, SUGAR, SALT","78.63","14.2","2","0.9"
"1520","MULTIGRAIN BREAD, OAT BREAD, LOW-FAT MILK, WHEAT FLOUR, OAT FLAKES","247.61","46.5","8.8","2"
"1521","MULTIGRAIN BREAD, OAT ROLL, LOW-FAT MILK, DARK WHEAT FLOUR, OAT FLAKES","280.59","40.5","8.3","8.4"
"1524","OAT BISCUIT, LACY OATMEAL COOKIES, CONTAINS WHEAT","470.36","62.6","5.1","21.4"
"1526","TALKKUNA PORRIDGE, TALKKUNA POWDER, WATER, SALT","63.34","11.3","1.6","0.8"
"1527","TALKKUNA POWDER WITH SOUR MILK","54.73","6.7","3.7","1"
"1530","RHUBARB RICE PORRIDGE, WATER, SUGAR","88.67","20.3","0.7","0.1"
"1531","APPLE RICE PORRIDGE, WATER, SUGAR","109.7","25.8","0.6","0.1"
"1532","APRICOT RICE PORRIDGE, WATER, SUGAR","83.41","18.8","1","0.1"
"1537","RICE AND CREAM DESSERT","198.61","21.1","1.6","11.9"
"1538","PRUNE RICE DESSERT","166.35","21.2","2","7.4"
"1541","MILLET PORRIDGE, WATER, SALT","43.98","8.5","1.4","0.4"
"1542","MILLET PORRIDGE, MILK, SALT","86.28","12.7","4.3","1.8"
"1543","BUCKWHEAT GRUEL, MILK, SALT","74.57","9.9","4.2","1.8"
"1544","BUCKWHEAT PORRIDGE, WATER, SALT","62.38","11.5","2.5","0.4"
"1545","BUCKWHEAT PORRIDGE, MILK, SALT","97.99","14.8","5","1.7"
"1546","POTATO GRUEL, POTATO PEARLS, MILK, SALT","73.14","8.3","3.1","3"
"1547","POTATO PORRIDGE, POTATO PEARLS, MILK, SALT","78.63","12.9","3","1.5"
"1548","MAIZE GRUEL, MILK, SALT","68.36","10.1","3.2","1.6"
"1549","PUDDING, MAIZE PUDDING, LOW-FAT MILK","173.52","20.2","5.5","7.7"
"1552","POPCORN, COOKING OIL","495.7","43","9","30"
"1554","CHEESE PUFFS","544.69","51","10","33.2"
"1556","MULTIGRAIN BREAD, BREAD ROLL, WATER, FLOUR MIX","215.34","35.6","6.6","4.3"
"1559","RICE PORRIDGE, WHOLE GRAIN RICE, MILK, SALT","95.6","14.6","4.1","1.9"
"1560","RICE, LONG-GRAIN, BOILED, MEAT BOUILLON","120.22","25.3","2.6","0.7"
"1561","OAT PORRIDGE, OAT FLAKES, WATER, WITHOUT SALT","57.6","9.1","2.1","1.1"
"1562","WHEAT PORRIDGE, WATER, WHEAT FLAKES, WITHOUT SALT","42.3","7.4","1.6","0.3"
"1563","RYE PORRIDGE, RYE FLAKES, WATER, WITHOUT SALT","34.66","6.1","1.1","0.2"
"1564","MIXED FLAKE PORRIDGE, WATER, WITHOUT SALT","50.67","8.9","1.7","0.5"
"1565","RICE PORRIDGE, RICE FLAKES, MILK, WITHOUT SALT","90.58","14.7","3.9","1.6"
"1566","RICE PORRIDGE, WATER, WITHOUT SALT","46.37","10","1","0.2"
"1567","SEMOLINA PORRIDGE, MILK, WITHOUT SALT","82.46","12.2","4.3","1.6"
"1568","RICE PORRIDGE, MILK, SALT","92.97","15.2","3.9","1.6"
"1569","RICE GRUEL, RICE, MILK, SALT","63.58","8.5","3.4","1.6"
"1571","RICE GRUEL, RICE FLAKES, MILK, SALT","60.47","7.7","3.5","1.6"
"1572","RICE GRUEL, RICE FLAKES, WATER, SALT","11.71","2.5","0.3","0"
"1575","MILLET, BOILED WITH SALT","142.93","27.5","4.5","1.2"
"1576","BUCKWHEAT, BOILED, SALT","130.98","24.2","5.2","0.8"
"1577","WHEAT GRAIN, BOILED, SALT","123.33","21.2","5.2","1"
"1578","MILLET, BOILED WITHOUT SALT","142.93","27.5","4.5","1.2"
"1579","BUCKWHEAT, BOILED WITHOUT  SALT","130.98","24.2","5.2","0.8"
"1580","WHEAT GRAIN, BOILED WITHOUT SALT","123.33","21.2","5.2","1"
"1582","MULTIGRAIN BREAD, FLATBREAD, BARLEY AND POTATO, WHEAT FLOUR, MILK","201.24","40.4","6","0.8"
"1860","RAVIOLI WITH SPINACH FILLING, BOILED","212","28.8","9","6.2"
"2002","POTATO, FRIED","134.32","18.1","2.2","5.3"
"2005","POTATOES IN LOW-FAT MILK","113.29","7.8","1.9","8.2"
"2009","PUR�ED POTATO LEEK SOUP","36.57","5.3","0.8","1.1"
"2010","SALAD, POTATO SALAD, ONION, WITHOUT MAYONNAISE","70.75","14.4","1.8","0.1"
"2011","MASHED POTATO CASSEROLE, MILK, EGGS, WITHOUT MEAT","102.06","17","3.7","1.7"
"2012","POTATO AND ONION CASSEROLE, LOW-FAT MILK","80.54","11.5","3.6","1.8"
"2021","SLICED BAKED POTATOES WITH CREAM","185.47","10.6","2.9","14.4"
"2022","SCALLOPED GARLIC POTATOES","117.83","13.1","2.5","5.8"
"2023","MASHED POTATOES, MASHED POTATO POWDER, WATER","65.49","12.7","1","0.7"
"2024","POTATO WEDGES, OVEN-BAKED","148.42","19.3","2.3","6.3"
"2025","FRENCH FRIES, OVEN-BAKED","260.28","44.2","4.5","6.6"
"2028","MASHED POTATOES AND SPINACH","79.11","12.2","2.1","2"
"2029","MASHED POTATOES, LOW-FAT MILK","85.09","13","2.1","2.4"
"2030","POTATO CUTLET","148.9","18.6","2.4","6.6"
"2031","POTATO WITH CHEESE, FRIED","177.58","15.2","6.2","9.8"
"2033","POTATO, PEELED, BOILED WITH SALT","75.05","15.4","1.9","0.1"
"3000","CARROT, FRIED","90.34","6.3","0.7","6.3"
"3001","MASHED CARROT","39.67","6.7","1.1","0.4"
"3002","CARROT STEW","49.71","5.8","0.9","2.1"
"3003","PUR�ED CARROT SOUP","24.38","2.6","0.3","1.1"
"3004","PUR�ED CARROT SOUP, MILK","19.12","3","0.6","0.2"
